bps,fixed,fee_mult,downtime,fee_mode,policy,capital,days,paid,retained_fees,ending_capital,total_wealth,gross_fees,costs,unrecovered_costs,fee_reserve,rebalances,settlements,max_drawdown,close_in_range_fraction,crossing_bar_fraction,narrow_fraction,gross_fee_apr_pct,spendable_apr_pct
10.0,0.5,1.0,1,strict,fixed_3,190.0,17.99652777777778,0.7294280576899876,0.7294280576899878,179.12826219455184,179.85769025224184,19.917061587882422,18.98298945063106,0.5247839781285337,0.0,17,17,0.08683082952604126,0.9915107080841211,0.0136986301369863,0.0,212.60614296924157,7.7863336032141
10.0,0.5,1.0,1,strict,fixed_5,190.0,17.99652777777778,0.083364218983769,0.08336421898376906,186.3117948851724,186.39515910415616,12.697988395845309,12.63723095309099,0.10597099521319508,0.0,7,16,0.087409241223113,0.9959482924946942,0.0040517075053058075,0.0,135.54561371398995,0.889877504348609
10.0,0.5,1.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,0.7294280576899876,0.7294280576899878,179.12826219455184,179.85769025224184,19.917061587882422,18.98298945063106,0.5247839781285337,0.0,17,17,0.08683082952604126,0.9915107080841211,0.0136986301369863,0.0,212.60614296924157,7.7863336032141
10.0,0.5,2.0,1,strict,fixed_1,190.0,17.99652777777778,3.113184805179779,3.1131848051797824,150.2649659313233,153.37815073650307,80.35365086291746,74.12728125255788,0.0,0.0,112,19,0.22240658042693062,0.9444337256415204,0.11653482539070037,0.9783908933050357,857.7409728880737,33.23192082623337
10.0,0.5,2.0,1,strict,fixed_3,190.0,17.99652777777778,10.70110213533662,10.701102135336622,189.4581150622566,200.15921719759322,40.93280407833845,19.530599807665155,0.0,0.0,17,18,0.07228709057033711,0.9915107080841211,0.0136986301369863,0.0,436.94023626988405,114.22970403917519
10.0,0.5,2.0,1,strict,fixed_5,190.0,17.99652777777778,6.34756885293917,6.3475688529391725,192.78698755775326,199.13455641069243,25.846019443841474,13.150881737963147,0.0,0.0,7,17,0.07654290451764179,0.9959482924946942,0.0040517075053058075,0.0,275.8952409127629,67.75759190683767
10.0,0.5,2.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,10.70110213533662,10.701102135336622,189.4581150622566,200.15921719759322,40.93280407833845,19.530599807665155,0.0,0.0,17,18,0.07228709057033711,0.9915107080841211,0.0136986301369863,0.0,436.94023626988405,114.22970403917519
20.0,0.02,0.5,1,strict,fixed_1,190.0,17.99652777777778,0.631022268745703,0.6310222687457037,147.53227771817774,148.16329998692345,20.197588986134548,18.93554444864307,0.0,0.0,112,19,0.23485663891170028,0.9444337256415204,0.11653482539070037,0.9783908933050357,215.60065337311897,6.735893750880744
20.0,0.02,0.5,1,strict,fixed_3,190.0,17.99652777777778,3.165652969300958,3.165652969300958,182.02849821029247,185.19415117959343,10.066665627375865,3.7353596887739617,0.0,0.0,17,19,0.07931067687504811,0.9915107080841211,0.0136986301369863,0.0,107.45736473996476,33.79199611410956
20.0,0.02,0.5,1,strict,fixed_5,190.0,17.99652777777778,2.2918282919671986,2.291828291967198,188.67776261141407,190.96959090338126,6.409441136271605,1.8257845523372012,0.0,0.0,7,19,0.08070722014893639,0.9959482924946942,0.0040517075053058075,0.0,68.41805215886666,24.464290144053116
20.0,0.02,0.5,1,strict,economic_3_30m_5,190.0,17.99652777777778,3.165652969300958,3.165652969300958,182.02849821029247,185.19415117959343,10.066665627375865,3.7353596887739617,0.0,0.0,17,19,0.07931067687504811,0.9915107080841211,0.0136986301369863,0.0,107.45736473996476,33.79199611410956
20.0,0.02,1.0,1,strict,fixed_1,190.0,17.99652777777778,11.088366931458047,11.08836693145805,156.96267782828969,168.05104475974773,41.575349892235394,19.398616029319456,0.0,0.0,112,19,0.18760293284318064,0.9444337256415204,0.11653482539070037,0.9783908933050357,443.79913895343935,118.36359066938167
20.0,0.02,1.0,1,strict,fixed_3,190.0,17.99652777777778,8.306358386807716,8.306358386807714,187.08945306304372,195.39581144985144,20.394073046093098,3.781356272477717,0.0,0.0,17,19,0.07174777568800339,0.9915107080841211,0.0136986301369863,0.0,217.6980369634845,88.66683526318094
20.0,0.02,1.0,1,strict,fixed_5,190.0,17.99652777777778,5.54270090321194,5.542700903211941,191.9790094172365,197.52171032044845,12.924280202250221,1.8388783958263468,0.0,0.0,7,19,0.07575241473732386,0.9959482924946942,0.0040517075053058075,0.0,137.96118229236706,59.16596961175088
20.0,0.02,1.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,8.306358386807716,8.306358386807714,187.08945306304372,195.39581144985144,20.394073046093098,3.781356272477717,0.0,0.0,17,19,0.07174777568800339,0.9915107080841211,0.0136986301369863,0.0,217.6980369634845,88.66683526318094
20.0,0.02,2.0,1,strict,fixed_1,190.0,17.99652777777778,33.838399408672274,33.83839940867227,177.5986198722349,211.43701928090718,88.0366029807654,20.359804163421018,0.0,0.0,112,19,0.11221792657939711,0.9444337256415204,0.11653482539070037,0.9783908933050357,939.7532119518322,361.2104903520242
20.0,0.02,2.0,1,strict,fixed_3,190.0,17.99652777777778,18.989712482936522,18.989712482936522,197.61163943294483,216.60135191588134,41.85511869493039,3.875693729057306,0.0,0.0,17,19,0.06218218953941823,0.9915107080841211,0.0136986301369863,0.0,446.7855516730894,202.70708654876643
20.0,0.02,2.0,1,strict,fixed_5,190.0,17.99652777777778,12.205462329543858,12.205462329543858,198.74496526986195,210.9504275994058,26.276420370733774,1.8654957116459763,0.0,0.0,7,19,0.06638183030064615,0.9959482924946942,0.0040517075053058075,0.0,280.4895873525325,130.2881078913503
20.0,0.02,2.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,18.989712482936522,18.989712482936522,197.61163943294483,216.60135191588134,41.85511869493039,3.875693729057306,0.0,0.0,17,19,0.06218218953941823,0.9915107080841211,0.0136986301369863,0.0,446.7855516730894,202.70708654876643
20.0,0.1,0.5,1,strict,fixed_1,190.0,17.99652777777778,0.0,0.0,138.56063083900057,138.56063083900057,19.56852130159656,29.010274521040312,9.441753219443761,0.0,112,19,0.27997968968817044,0.9444337256415204,0.11653482539070037,0.9783908933050357,208.8856239755304,0.0
20.0,0.1,0.5,1,strict,fixed_3,190.0,17.99652777777778,1.7206802453742422,1.720680245374242,180.6050110761372,182.32569132151144,10.022800472692836,6.581439981944343,0.0,0.0,17,18,0.0821039880266271,0.9915107080841211,0.0136986301369863,0.0,106.98912291087979,18.367528193765075
20.0,0.1,0.5,1,strict,fixed_5,190.0,17.99652777777778,1.3044587106452172,1.3044587106452172,187.6726854155485,188.9771441261937,6.390726961946478,3.781809540656053,0.0,0.0,7,17,0.08263838230636633,0.9959482924946942,0.0040517075053058075,0.0,68.21828632470665,13.924540721490828
20.0,0.1,0.5,1,strict,economic_3_30m_5,190.0,17.99652777777778,1.7206802453742422,1.720680245374242,180.6050110761372,182.32569132151144,10.022800472692836,6.581439981944343,0.0,0.0,17,18,0.0821039880266271,0.9915107080841211,0.0136986301369863,0.0,106.98912291087979,18.367528193765075
20.0,0.1,1.0,1,strict,fixed_1,190.0,17.99652777777778,5.592692645694514,5.5926926456945125,152.0805686609377,157.6732613066322,40.878682085404066,29.693296794014906,0.0,0.0,112,19,0.21253390351812573,0.9444337256415204,0.11653482539070037,0.9783908933050357,436.36250706435766,59.69961015418903
20.0,0.1,1.0,1,strict,fixed_3,190.0,17.99652777777778,6.789852064623103,6.789852064623102,185.5988704576105,192.3887225222336,20.307130826822338,6.727426697576088,0.0,0.0,17,19,0.07449865402350753,0.9915107080841211,0.0136986301369863,0.0,216.76996583116505,72.47877667203313
20.0,0.1,1.0,1,strict,fixed_5,190.0,17.99652777777778,4.495219365085543,4.495219365085543,190.91205526182705,195.4072746269126,12.88499460145366,3.894555871282548,0.0,0.0,7,18,0.07776725524587169,0.9959482924946942,0.0040517075053058075,0.0,137.5418252490235,47.98455067252173
